GEOID,scag_coverage_pct,scag_parcel_count,lac_coverage_pct,lac_parcel_count,coverage_diff
060371011101,0.32,1,0.0,0,0.32
060371011102,2.39,5,2.86,7,0.46999999999999975
060371011103,0.19,2,0.05,1,0.14
060371011221,0.14,3,0.1,1,0.04000000000000001
060371011222,0.62,4,0.0,0,0.62
060371012201,0.15,1,0.0,0,0.15
060371012202,6.38,32,7.14,44,0.7599999999999998
060371012211,12.67,39,10.96,38,1.709999999999999
060371012212,6.37,13,0.48,1,5.890000000000001
060371012221,17.09,85,19.21,96,2.120000000000001
060371013001,1.01,9,0.73,5,0.28
060371013002,8.58,18,13.19,19,4.609999999999999
060371013003,3.11,8,2.26,5,0.8500000000000001
060371013004,5.76,5,5.15,2,0.6099999999999994
060371014001,14.87,47,13.5,41,1.3699999999999992
060371014002,2.17,11,0.23,4,1.94
060371014003,3.04,46,3.65,58,0.6099999999999999
060371021031,0.86,7,0.48,2,0.38
060371021041,0.19,1,4.29,4,4.1
060371021042,0.14,1,0.0,0,0.14
060371021051,0.52,1,0.84,2,0.31999999999999995
060371021052,1.37,3,3.78,6,2.4099999999999997
060371021071,7.92,19,1.44,9,6.48
060371021072,1.19,11,1.04,10,0.1499999999999999
060371031011,0.33,8,0.0,0,0.33
060371031012,0.0,0,0.0,0,0.0
060371031021,3.5,5,3.6,6,0.10000000000000009
060371031022,4.49,19,4.54,21,0.04999999999999982
060371031023,0.39,2,0.0,0,0.39
060371031024,3.04,13,4.31,18,1.2699999999999996
060371031025,6.63,15,7.62,18,0.9900000000000002
060371032011,2.73,26,2.86,26,0.1299999999999999
060371032012,3.48,11,3.29,8,0.18999999999999995
060371032021,1.38,7,0.71,11,0.6699999999999999
060371033001,0.78,4,0.7,5,0.08000000000000007
060371033002,0.72,6,0.36,5,0.36
060371034011,10.8,29,2.09,16,8.71
060371034021,8.63,26,21.02,31,12.389999999999999
060371034022,0.0,0,0.0,0,0.0
060371034023,0.4,2,0.0,0,0.4
060371034024,7.29,12,8.24,11,0.9500000000000002
060371041031,0.16,1,0.0,0,0.16
060371041032,0.27,2,0.0,0,0.27
060371041051,3.44,2,3.21,4,0.22999999999999998
060371041052,1.48,1,4.7,2,3.22
060371041053,0.0,0,3.79,1,3.79
060371041081,1.38,2,1.38,2,0.0
060371041082,1.88,2,1.12,2,0.7599999999999998
060371041083,14.77,9,12.52,9,2.25
060371041241,0.0,0,0.05,1,0.05
060371041242,3.23,3,0.79,3,2.44
060371041243,0.02,1,0.08,5,0.06
060371042011,0.36,2,3.05,5,2.69
060371042012,0.0,0,0.0,1,0.0
060371042013,0.5,2,0.5,2,0.0
060371042031,10.79,3,10.61,2,0.17999999999999972
060371042032,1.31,3,0.91,1,0.4
060371042041,0.34,2,0.65,3,0.31
060371042042,0.0,0,0.1,2,0.1
060371043101,6.17,4,5.76,13,0.41000000000000014
060371043102,2.54,2,4.07,7,1.5300000000000002
060371043103,6.14,10,6.58,12,0.4400000000000004
060371043211,4.52,9,5.83,12,1.3100000000000005
060371043212,8.46,28,8.84,29,0.379999999999999
060371043213,0.0,0,8.62,6,8.62
060371043221,3.45,5,3.87,6,0.41999999999999993
060371043222,27.68,9,23.72,6,3.960000000000001
060371044011,3.24,11,3.36,8,0.11999999999999966
060371044012,0.74,1,0.74,1,0.0
060371044031,4.15,7,4.13,7,0.020000000000000462
060371044032,5.63,15,6.79,18,1.1600000000000001
060371044041,19.47,54,13.75,38,5.719999999999999
060371044042,11.46,24,10.42,23,1.040000000000001
060371045001,6.05,7,8.81,13,2.7600000000000007
060371045002,1.03,3,0.85,2,0.18000000000000005
060371046101,12.8,53,9.92,43,2.880000000000001
060371046102,8.54,14,7.61,12,0.9299999999999988
060371046201,0.0,0,0.0,0,0.0
060371046202,3.34,14,3.84,15,0.5
060371047011,2.05,5,1.42,3,0.6299999999999999
060371047012,3.59,10,4.34,8,0.75
060371047013,10.98,10,10.02,12,0.9600000000000009
060371047031,11.76,14,8.3,20,3.459999999999999
060371047032,1.26,3,5.14,17,3.88
060371047041,0.0,0,0.37,2,0.37
060371047042,7.25,2,1.14,1,6.11
060371047043,0.78,3,0.66,3,0.12
060371048211,0.59,1,1.03,2,0.44000000000000006
060371048212,6.86,2,6.86,2,0.0
060371048221,16.11,21,16.59,23,0.4800000000000004
060371048231,0.33,1,0.13,1,0.2
060371048232,0.0,0,0.0,0,0.0
060371048241,8.6,22,9.67,22,1.0700000000000003
060371048242,10.38,18,10.36,17,0.02000000000000135
060371060101,0.42,2,0.08,1,0.33999999999999997
060371060102,0.12,1,15.87,1,15.75
060371060201,0.29,3,0.43,2,0.14
060371060202,0.0,0,0.0,0,0.0
060371060203,0.0,0,0.0,0,0.0
060371061111,1.08,2,0.0,0,1.08
060371061112,0.0,0,0.0,0,0.0
060371061121,0.66,4,0.55,3,0.10999999999999999
060371061122,0.99,1,0.0,0,0.99
060371061123,0.94,5,27.15,13,26.209999999999997
060371061131,5.18,5,5.36,6,0.1800000000000006
060371061132,0.23,1,2.97,1,2.74
060371061141,8.24,35,7.94,24,0.2999999999999998
060371061142,28.17,14,29.14,14,0.9699999999999989
060371061143,100.0,92,1.76,4,98.24
060371064031,1.61,3,1.94,4,0.32999999999999985
060371064032,0.0,0,0.0,0,0.0
060371064033,0.79,1,0.79,1,0.0
060371064051,3.22,7,2.76,6,0.4600000000000004
060371064052,1.27,2,0.0,0,1.27
060371064053,5.71,8,1.45,2,4.26
060371064061,0.59,5,1.1,6,0.5100000000000001
060371064062,0.0,0,0.0,0,0.0
060371064063,2.62,3,0.79,1,1.83
060371064071,0.0,0,0.0,0,0.0
060371064072,37.22,22,43.21,25,5.990000000000002
060371064081,100.0,42,2.03,4,97.97
060371064082,87.7,24,9.51,2,78.19
060371065101,0.0,0,0.61,2,0.61
060371065102,1.01,3,3.18,7,2.17
060371065103,4.39,5,0.54,3,3.8499999999999996
060371065201,0.49,3,0.11,1,0.38
060371065202,1.07,2,0.51,2,0.56
060371065203,6.05,4,0.0,0,6.05
060371066031,0.02,1,0.5,1,0.48
060371066032,0.0,0,0.0,0,0.0
060371066041,3.6,12,3.54,10,0.06000000000000005
060371066042,1.35,11,2.62,20,1.27
060371066043,2.9,14,4.12,11,1.2200000000000002
060371066411,0.35,4,0.0,0,0.35
060371066421,0.62,3,0.0,0,0.62
060371066422,0.22,1,0.0,0,0.22
060371066423,0.73,3,0.86,2,0.13
060371066431,0.24,4,0.0,0,0.24
060371066432,0.71,1,0.0,0,0.71
060371066433,0.13,1,0.0,0,0.13
060371066451,0.0,0,0.0,0,0.0
060371066452,0.05,1,0.0,0,0.05
060371066461,5.51,13,5.08,8,0.4299999999999997
060371066462,1.05,3,0.35,1,0.7000000000000001
060371066481,7.87,73,4.22,14,3.6500000000000004
060371066482,9.37,20,16.3,26,6.9300000000000015
060371066491,11.31,9,9.68,5,1.6300000000000008
060371066492,1.23,2,0.0,0,1.23
060371070101,0.81,3,0.81,3,0.0
060371070102,3.56,6,17.54,10,13.979999999999999
060371070201,4.62,6,4.75,6,0.1299999999999999
060371070202,0.0,0,0.0,0,0.0
060371070203,0.37,2,0.37,2,0.0
060371070204,2.21,1,0.0,0,2.21
060371081011,0.22,3,0.91,5,0.6900000000000001
060371081021,100.0,66,11.36,7,88.64
060371081022,0.41,2,0.0,0,0.41
060371081023,8.46,61,0.0,0,8.46
060371081031,0.09,1,0.0,0,0.09
